id,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28
FOODS_1_001_TX_1_validation,0.46015749536701145,0.4319709223796404,0.3353561909325428,0.36051622070024575,0.2585660138291318,0.09524595623054914,0.07091679794659651,0.47403215329077103,0.44912562949691726,0.6547055277565934,0.20059389256451418,0.7239234713028913,0.6759060403832104,0.17920517547056558,0.674117904684296,0.6246103120267483,0.7039517554386666,0.6737515400641426,0.5579656962087005,0.48328664446582476,0.4290306260307783,0.3867806494384456,0.3547288703498093,0.3672259728699641,0.367769676027264,0.3820948160106167,0.4186027080415743,0.36448568110242635
FOODS_1_002_TX_1_validation,0.23180040345636038,0.20376877802989532,0.2539551183176882,0.21525271561040207,0.271738636155053,0.8935701156186981,0.049856106110241966,0.28757788883175983,0.31496551481290075,0.31061851298896986,0.1419367867069852,0.3790547989053268,0.29891140740033556,0.42224121982604107,0.21954837399025467,0.13079695750557957,0.1991198252186843,0.21025064301512286,0.16294781860116092,0.18035478975306155,0.18342257997147418,0.11744852424878528,0.11425292722712313,0.12366953980155872,0.12844823838993408,0.14292831784781576,0.14215338883437653,0.13179422024825826
FOODS_1_003_TX_1_validation,0.28013982227494827,0.24130067516736714,0.23696845091281518,0.25199606419548876,0.28222950730745217,0.14423620006718701,0.10871153746438846,0.23634812836925287,0.23336089155028933,0.26983526254050205,0.3350241659421479,0.2992372981367273,0.3282363961041052,0.11897325437004469,0.2512171415397031,0.23505580096351508,0.2778685990701939,0.28292182494334883,0.3265815032357967,0.3504545907273276,0.3846679336064693,0.2564235731824146,0.25207254582499755,0.24857199772307728,0.24561833220176607,0.26411797432127765,0.3179745387869765,0.3293471564213748
FOODS_1_004_TX_1_validation,0.026408572048338262,0.029367038289856623,0.03419720885517858,0.03238548130719443,0.03161679369077401,0.02381225567683305,0.027215608481706916,0.25764775657005234,0.24376031518485672,0.28133417138864236,0.22981367330639066,0.25314648189839695,0.287700096759469,0.25862959370551836,0.23430472196265975,0.2240853116579389,0.29881139586128,0.27534319063221385,0.2619640249113705,0.3656102003533802,0.36388872609966055,0.28539345843254704,0.2932845100126804,0.30887885868164644,0.2588431780659571,0.27116520926922766,0.3074865480418314,0.32344906962984293
FOODS_1_005_TX_1_validation,0.4770083157319589,0.4128872982601906,0.4382041612077647,0.5547257273602627,0.4641011620814738,0.5114934943741112,0.364035201045476,0.3389075894356475,0.38857087595248097,0.352080253751788,0.31017514460446344,0.3379423914902503,0.5240883739710617,0.5591797643144097,0.3865581550513932,0.3973820862543794,0.44972374862717235,0.47680408049893147,0.4029451194880954,0.5743812664329396,0.6341776177383912,0.45866907567487286,0.4196292185380682,0.4208754575296802,0.37042027420003115,0.36840194259761505,0.5762077941284602,0.5991225775884786
FOODS_1_006_TX_1_validation,0.42614509852969973,0.4336227289681382,0.4300483826190223,0.34586255232872853,0.4447938580469056,0.37316143796788176,0.7244667993053192,0.40954601479892966,0.523178510178155,0.5168593112685657,0.2859785529630373,0.6061261493081503,0.5466410721109671,0.569462890052883,0.45778798146239713,0.4113927133000119,0.4667512395571895,0.5127594207691137,0.7208795885439422,0.6177687932549719,0.6278011693002274,0.45389091477354093,0.4396327974816905,0.44521068043389855,0.38048155265384853,0.41480295456173516,0.5679103309526254,0.4462330213920934
FOODS_1_008_TX_1_validation,0.13922698253110904,0.11940673694125888,0.14280782160853006,0.09671582208815958,0.10452281824562161,0.04234081576371799,0.018801332323063462,0.1944963972585937,0.16985207100970873,0.17184812179258724,0.03869034338651339,0.1398003844614062,0.10879458825998571,0.15800477647496777,0.11694710969526591,0.08784452905436085,0.11587977515292085,0.08743278043833828,0.117915859375109,0.10882478174694254,0.11248771325961147,0.0913203577752333,0.08012242886896019,0.07532874616584186,0.08491536328538443,0.11910089637608406,0.10537079053685151,0.11340840067607713
FOODS_1_009_TX_1_validation,0.04489835610766782,0.046115193391243245,0.059933776347420746,0.06174517795977304,0.060635198186323805,0.0249885846328974,0.020496364994566477,1.030133187837283,0.8393127328711371,1.096250122465866,0.457883568590619,0.9933636735405732,0.8873676441854322,0.3058498136662116,0.7521463718002711,0.5815384740642537,0.6215619759468324,0.6694828671010963,0.490850738862089,0.4591289875001954,0.5449406270359556,0.3582367939280307,0.3219555716665051,0.2981358783841388,0.28289638929095046,0.3537342515931311,0.43597726512306717,0.44183521734905873
FOODS_1_010_TX_1_validation,0.27492181122225945,0.3546711959914337,0.3783333161466916,0.3496676331151386,0.5694755070052733,1.109278484460697,0.3326047314540478,0.368078434874736,0.49799216069747915,0.4450657598083308,0.331301493375162,0.5992692816137598,0.6424087345162249,0.36512872474608493,0.4716668828813063,0.49470283877691706,0.5832040629415455,0.5690221428552746,0.6091419115359021,0.5941261750184034,0.5628293890819734,0.4895090126938572,0.48522903515791155,0.41456006787229316,0.4525287855973049,0.4322137068323166,0.43068477578385483,0.40530728227834895
FOODS_1_011_TX_1_validation,0.5563661616382911,0.4520668728308724,0.47914097432430763,0.5139865458828671,0.5514810262898568,0.33516736578148254,0.4809847288406977,0.6324499839833204,0.6984337250286622,0.7142852737892075,1.0446747073000797,0.7484241200756396,0.7837789026338976,0.616148865194034,0.8541285079893359,0.8041131233209292,0.8627721992004501,0.887359264982138,0.8465885048108938,1.137032988465809,0.988748371485376,0.6962984623806554,0.5748647312617794,0.5570137857382012,0.5556877507316157,0.5971140807320547,0.7411696079965158,0.7119880450436706
