ds,y
2012-01-18,4174.0
2012-01-19,3903.0
2012-01-20,4444.0
2012-01-21,6268.0
2012-01-22,5416.0
2012-01-23,4469.0
2012-01-24,4330.0
2012-01-25,3975.0
2012-01-26,3678.0
2012-01-27,4345.0
2012-01-28,4711.0
2012-01-29,5539.0
2012-01-30,4461.0
2012-01-31,4448.0
2012-02-01,5087.0
2012-02-02,4663.0
2012-02-03,5639.0
2012-02-04,6989.0
2012-02-05,6237.0
2012-02-06,5325.0
2012-02-07,5012.0
2012-02-08,4936.0
2012-02-09,5026.0
2012-02-10,5585.0
2012-02-11,6997.0
2012-02-12,6466.0
2012-02-13,5239.0
2012-02-14,3964.0
2012-02-15,4219.0
2012-02-16,4153.0
2012-02-17,4672.0
2012-02-18,5811.0
2012-02-19,5475.0
2012-02-20,5967.0
2012-02-21,4596.0
2012-02-22,3868.0
2012-02-23,4214.0
2012-02-24,5182.0
2012-02-25,5494.0
2012-02-26,6075.0
2012-02-27,4628.0
2012-02-28,3984.0
2012-02-29,3968.0
2012-03-01,4878.0
2012-03-02,5516.0
2012-03-03,6447.0
2012-03-04,7290.0
2012-03-05,5633.0
2012-03-06,5162.0
2012-03-07,4919.0
2012-03-08,5155.0
2012-03-09,5414.0
2012-03-10,6247.0
2012-03-11,6805.0
2012-03-12,5495.0
2012-03-13,4760.0
2012-03-14,4324.0
2012-03-15,4256.0
2012-03-16,4435.0
2012-03-17,5891.0
2012-03-18,6030.0
2012-03-19,4644.0
2012-03-20,4455.0
2012-03-21,4248.0
2012-03-22,4295.0
2012-03-23,4633.0
2012-03-24,5570.0
2012-03-25,6592.0
2012-03-26,4938.0
2012-03-27,3829.0
2012-03-28,4362.0
2012-03-29,4053.0
2012-03-30,5055.0
2012-03-31,5869.0
2012-04-01,6356.0
2012-04-02,5513.0
2012-04-03,5617.0
2012-04-04,4847.0
2012-04-05,5203.0
2012-04-06,5698.0
2012-04-07,7184.0
2012-04-08,6209.0
2012-04-09,5627.0
2012-04-10,5048.0
2012-04-11,4720.0
2012-04-12,4195.0
2012-04-13,4633.0
2012-04-14,5567.0
2012-04-15,5363.0
2012-04-16,4705.0
2012-04-17,4357.0
