ds,y
2012-01-18,1977.0
2012-01-19,2030.0
2012-01-20,2214.0
2012-01-21,2966.0
2012-01-22,2710.0
2012-01-23,1963.0
2012-01-24,1645.0
2012-01-25,1597.0
2012-01-26,1732.0
2012-01-27,2104.0
2012-01-28,2518.0
2012-01-29,2695.0
2012-01-30,2018.0
2012-01-31,1773.0
2012-02-01,2673.0
2012-02-02,2060.0
2012-02-03,2657.0
2012-02-04,3069.0
2012-02-05,3430.0
2012-02-06,2281.0
2012-02-07,2317.0
2012-02-08,2145.0
2012-02-09,2275.0
2012-02-10,2059.0
2012-02-11,2894.0
2012-02-12,3325.0
2012-02-13,2652.0
2012-02-14,2119.0
2012-02-15,2196.0
2012-02-16,1853.0
2012-02-17,1773.0
2012-02-18,2558.0
2012-02-19,3040.0
2012-02-20,2399.0
2012-02-21,1876.0
2012-02-22,1945.0
2012-02-23,2060.0
2012-02-24,2250.0
2012-02-25,2402.0
2012-02-26,2846.0
2012-02-27,2008.0
2012-02-28,1888.0
2012-02-29,1856.0
2012-03-01,2378.0
2012-03-02,2353.0
2012-03-03,2721.0
2012-03-04,3063.0
2012-03-05,2407.0
2012-03-06,2199.0
2012-03-07,1996.0
2012-03-08,2063.0
2012-03-09,2064.0
2012-03-10,2813.0
2012-03-11,2822.0
2012-03-12,2736.0
2012-03-13,2485.0
2012-03-14,2277.0
2012-03-15,2484.0
2012-03-16,2585.0
2012-03-17,2524.0
2012-03-18,3029.0
2012-03-19,2092.0
2012-03-20,1979.0
2012-03-21,2085.0
2012-03-22,2013.0
2012-03-23,2292.0
2012-03-24,2746.0
2012-03-25,3049.0
2012-03-26,2182.0
2012-03-27,1922.0
2012-03-28,1923.0
2012-03-29,1901.0
2012-03-30,2305.0
2012-03-31,2678.0
2012-04-01,3522.0
2012-04-02,2142.0
2012-04-03,3084.0
2012-04-04,2210.0
2012-04-05,2698.0
2012-04-06,3278.0
2012-04-07,3830.0
2012-04-08,3848.0
2012-04-09,2518.0
2012-04-10,2248.0
2012-04-11,2602.0
2012-04-12,2460.0
2012-04-13,2816.0
2012-04-14,3224.0
2012-04-15,3626.0
2012-04-16,2399.0
2012-04-17,2514.0
2012-04-18,2149.0
2012-04-19,2149.0
2012-04-20,1969.0
2012-04-21,2956.0
2012-04-22,3317.0
2012-04-23,2557.0
2012-04-24,2441.0
2012-04-25,2318.0
2012-04-26,2164.0
2012-04-27,2285.0
2012-04-28,3273.0
2012-04-29,3277.0
2012-04-30,2473.0
2012-05-01,2834.0
2012-05-02,2439.0
2012-05-03,2810.0
2012-05-04,2745.0
2012-05-05,3931.0
2012-05-06,4198.0
2012-05-07,3232.0
2012-05-08,2418.0
2012-05-09,2343.0
2012-05-10,2379.0
2012-05-11,2621.0
2012-05-12,3448.0
2012-05-13,3423.0
2012-05-14,2704.0
2012-05-15,2650.0
2012-05-16,2413.0
2012-05-17,2257.0
2012-05-18,2524.0
2012-05-19,3154.0
2012-05-20,3616.0
2012-05-21,2332.0
2012-05-22,2392.0
2012-05-23,2243.0
2012-05-24,2518.0
2012-05-25,2403.0
2012-05-26,3173.0
2012-05-27,3286.0
2012-05-28,3083.0
2012-05-29,2605.0
2012-05-30,2388.0
2012-05-31,2057.0
2012-06-01,3075.0
2012-06-02,3195.0
2012-06-03,3663.0
2012-06-04,2790.0
2012-06-05,2764.0
2012-06-06,2905.0
2012-06-07,2890.0
2012-06-08,2756.0
2012-06-09,3273.0
2012-06-10,3682.0
2012-06-11,3094.0
2012-06-12,2809.0
2012-06-13,2607.0
2012-06-14,2483.0
2012-06-15,3409.0
2012-06-16,3246.0
2012-06-17,3340.0
2012-06-18,2861.0
2012-06-19,2243.0
2012-06-20,2370.0
2012-06-21,2333.0
2012-06-22,2701.0
2012-06-23,3059.0
2012-06-24,3208.0
2012-06-25,2505.0
2012-06-26,2229.0
2012-06-27,2242.0
2012-06-28,1878.0
2012-06-29,2630.0
2012-06-30,2777.0
2012-07-01,3682.0
2012-07-02,2432.0
2012-07-03,2981.0
2012-07-04,2667.0
2012-07-05,2414.0
2012-07-06,3057.0
2012-07-07,3650.0
2012-07-08,3194.0
2012-07-09,2639.0
2012-07-10,2185.0
2012-07-11,2571.0
2012-07-12,2456.0
2012-07-13,2887.0
2012-07-14,3171.0
2012-07-15,3672.0
2012-07-16,2388.0
2012-07-17,2348.0
2012-07-18,2070.0
2012-07-19,2329.0
2012-07-20,2703.0
2012-07-21,3044.0
2012-07-22,3441.0
2012-07-23,2312.0
2012-07-24,2173.0
2012-07-25,1973.0
2012-07-26,2174.0
2012-07-27,2387.0
2012-07-28,2637.0
2012-07-29,3035.0
2012-07-30,2338.0
2012-07-31,2104.0
2012-08-01,2768.0
2012-08-02,2503.0
2012-08-03,2998.0
2012-08-04,3360.0
2012-08-05,3242.0
2012-08-06,3022.0
2012-08-07,2637.0
2012-08-08,2494.0
2012-08-09,2648.0
2012-08-10,2524.0
2012-08-11,3457.0
2012-08-12,4051.0
2012-08-13,3194.0
2012-08-14,2598.0
2012-08-15,3084.0
2012-08-16,2936.0
2012-08-17,2733.0
2012-08-18,3020.0
2012-08-19,3513.0
2012-08-20,2651.0
2012-08-21,2509.0
2012-08-22,2509.0
2012-08-23,2536.0
2012-08-24,2488.0
2012-08-25,3343.0
2012-08-26,3728.0
2012-08-27,2549.0
2012-08-28,2348.0
2012-08-29,1995.0
2012-08-30,2164.0
2012-08-31,2650.0
2012-09-01,4006.0
2012-09-02,3400.0
2012-09-03,3775.0
2012-09-04,2371.0
2012-09-05,2693.0
2012-09-06,2757.0
2012-09-07,2978.0
2012-09-08,3267.0
2012-09-09,3701.0
2012-09-10,2507.0
2012-09-11,2672.0
2012-09-12,2617.0
2012-09-13,2532.0
2012-09-14,2654.0
2012-09-15,3849.0
2012-09-16,3654.0
2012-09-17,2814.0
2012-09-18,2330.0
2012-09-19,2419.0
2012-09-20,2357.0
2012-09-21,2810.0
2012-09-22,3382.0
2012-09-23,3673.0
2012-09-24,2378.0
2012-09-25,2302.0
2012-09-26,2206.0
2012-09-27,2136.0
2012-09-28,2459.0
2012-09-29,3137.0
2012-09-30,3268.0
2012-10-01,2982.0
2012-10-02,2388.0
2012-10-03,2647.0
2012-10-04,2349.0
2012-10-05,2718.0
2012-10-06,3535.0
2012-10-07,3701.0
2012-10-08,2570.0
2012-10-09,2426.0
2012-10-10,2405.0
2012-10-11,2595.0
2012-10-12,2926.0
2012-10-13,3906.0
2012-10-14,3726.0
2012-10-15,3176.0
2012-10-16,2264.0
2012-10-17,2337.0
2012-10-18,2417.0
2012-10-19,2424.0
2012-10-20,3345.0
2012-10-21,3332.0
2012-10-22,2459.0
2012-10-23,2211.0
2012-10-24,2257.0
2012-10-25,1999.0
2012-10-26,2226.0
2012-10-27,2855.0
2012-10-28,2999.0
2012-10-29,2116.0
2012-10-30,2073.0
2012-10-31,2071.0
2012-11-01,2527.0
2012-11-02,2485.0
2012-11-03,3200.0
2012-11-04,3496.0
2012-11-05,2722.0
2012-11-06,2435.0
2012-11-07,2492.0
2012-11-08,2345.0
2012-11-09,2865.0
2012-11-10,3168.0
